Death Trash Language File		
File Format Version:	1	
Language Id:	Basque	
------------------------------------------		
#NewGame:	New Game	Partida Berria
#Resume:	Resume	Berrabiarazi
#LoadGame:	Load	Kargatu
#DoSaveGame:	Save	Gorde
#Quit:	Quit	Irten
#MainMenu:	Main Menu	Menu Nagusia
#Cancel:	Cancel	Ezeztatu
#ConnectGamepadForCoop:	Connect a controller for this mode	Konektatu aginte bat modu honetarako
#ConnectMoreGamepadsForCoop:	Connect another Controller for this mode	Konektatu beste aginte bat modu honetarako
#GatherYourPartyBeforeVenturingForth:	You must leave together	Elkarrekin egon behar zarete irteteko
#BeginReviving:	Reviving...	Berpizten...
#NotPossibleNow:	Not possible now	Orain ez da posible
#TutorialDialogueLeave:	You can leave dialogue||anytime {0}	Elkarrizketatik atera zaitezke||nahi duzunean {0}
#Start:	Start	Hasi
#NotEnoughRoomInInventory:	Inventory is full	Inbentarioa beteta dago
#BreakApart:	Deconstruct	Desegin
#QuickItemSlot:	Nano Health	Nano Osasuna
#NoAmmo:	No ammo	Munizio gabe
#NoQuickItemSelected:	No Item selected	Ez dago objekturik hautatuta
#LevelUp:	Level	Maila
#Talk:	Talk	Hitz egin
#CostTooMuch:	not affordable	ezin duzu
#NotSellable:		
#NoItems:	None	Ezer ez
#QuestFinished:	Finished	Amaituta
#QuestNew:	New Quest	Misio Berria
#QuestProgress:	Quest updated	Misioa eguneratuta
#SwitchedCharacters:	Switched Characters	Trukatutako pertsonaiak
#Mouse:	Mouse	Sagua
#Gamepad:	Controller	Agintea
#LetsContinue:	Let's continue...	Jarraituko dugu...
#QuestFailed:	Failed Quest	Misioak huts egin du
#CombatModeBegins:	Combat	Burruka
#CombatModeEnds:	Combat ends	Burruka amaituta
#Use:	Use	Erabili
#Examine:	Examine	Aztertu
#ToWorldMap:	To World Map	Munduko mapara
#Read:	Read	Irakurri
#DropAll:	Drop all	Dena bota
#BreakApartAll:	Deconstruct all	Guztia desegin
#SellAll:	Sell all	Dena saldu
#Browse:	Search	Bilatu
#Loot:	Loot	Hartu
#LootAll:	Loot all	Dena hartu
#Drink:	Drink	Edan
#AsYouWereSaying:	Let's continue...	Jarraituko dugu...
#TalkTo:	Talk	Hitz egin
#Continue:	Continue	Jarraitu
#SelectProfile:	Select Profile	Profila aukeratu
#Back:	Back	Atzera
#Empty:	Empty	Hutsik
#ReloadSavegame:	Reload	Berriz kargatu
#LoadOtherProfile:	Switch Profile	Profila aldatu
#Body:	Body	Gorputza
#LoadProfile:	Load Game	Partida kargatu
#SelectModule:	Select Game Module	Jokoa aukeratu
#Learn:	Learn	Ikasi
#RecipeLearned:	Crafting Recipe learned	Frabrikazio errezeta ikasita
#LearnRecipeDescription:	Teaches a crafting recipe.	Fabrikazio errezeta bat erakusten du.
#GamepadConnectionLost:	Controller connection lost	 Agintea deskonektatu da
#All:	All	Dena
#Kill:	Kill	Erahil
#Cyborg:	Cyborg	Cyborg
#Skin:	Skin Color	Azalaren kolorea
#Hair:	Hair Color	Ilearen kolorea
#Open:	Open	Ireki
#Close:	Close	Itxi
#Touch:	Touch	Ikutu
#Menu:	Menu	Menua
#AreaExitNotSafe:	There are enemies nearby.	Etsaiak hurbil dabiltza
#OtherPlayerDied:	Other Player Died	Beste jokalaria hil da
#Join:	Join	Batu
#Head:	Head	Burua
#NotAvailable:	not available	ez dago eskuragarri
#Corpse:	Corpse	Gorpua
#Eat:	Eat	Jan
#needs:	needs	behar du
#Inventory:	Inventory	Inbentarioa
#Unknown:	Unknown	Ezezaguna
#Failed:	Failed	Huts egin du
#Impossible:	Impossible	Ezinezkoa
#Success:	Success	Arrakasta
#Steal:	Steal	Lapurtu
#Pickpocket:	Pickpocket	Ostu
#AbilityCannotBeUsedNow:	Cannot be used right now	 Ezin da une honetan erabili
#CanNotUseInCombatMode:	Cannot use while in combat	Ezin da borrokan erabili
#CanOnlyUseInCombatMode:	Can only use while in combat	Borrokan bakarrik erabil daiteke
#Equip:	Equip	Hornitu
#Trinket:	Trinket	Purtzileria
#NoEnergy:	No Focus Energy	Fokuratzeko energiarik gabe
#OnCooldown:	Ability has Cooldown	Trebetasuna hozten ari da
#Abilities:	Abilities	Trebetasunak
#ReloadWeapon:	Reload	Berriz kargatu
#UseQuickItem:	Use Equipped Item	Objektu ekipatua erabili
#UseActionBarOne:	Action Bar 1	Ekintza Barra 1
#UseActionBarTwo:	Action Bar 2	Ekintza Barra 2
#UseActionBarThree:	Action Bar 3	Ekintza Barra 3
#UseActionBarFour:	Action Bar 4	Ekintza Barra 4
#Movement:	Movement	Mugimendua
#SavingNotPossibleHere:	Saving is not possible||right now	Gordetzea ezinezkoa da||une honetan
#NoFurtherAmmo:	No further ammo	Ez dago muniziorik
#Pickpocketing:	Pickpocketing	Ostu
#Target:	Target	Helburua
#NoCraftingRecipes:	No Crafting knowledge	Ez dakizu fabrikatzen
#NoQuests:	No Quests	Misiorik gabe
#Editor:	Editor	Editora
#LeaveCurrentGame:	Leave Current Game?	Partidatik irten?
#SocialExploration:	Explore	Esploratu
#MindExploration:	Explore Mind	Burua esploratu
